state,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,clv
ID,160,No,No,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,748.6629015704112
WI,64,No,No,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,748.4703518489474
OR,59,No,Yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,790.1041188201705
DE,142,,No,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,676.3754581432946
WY,97,No,Yes,24,133.2,135,,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,761.6811361306578
IA,52,No,No,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,1093.5325652508259
IN,60,No,No,0,220.6,57,,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,821.2516028385336
UT,96,No,No,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,1012.9341267099153
IN,81,No,No,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,1101.134038931636
CO,141,No,No,0,126.9,98,,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,757.6899438518218
OK,125,No,No,0,229.3,103,,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,852.2941827222912
ID,174,No,No,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,511.87827485933923
CA,116,No,Yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,998.8908893066753
SD,149,No,Yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,763.7160719832764
NC,38,No,No,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,819.9130896455499
WA,40,No,Yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,797.1385257551689
WY,43,Yes,No,0,251.5,105,,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,761.3778517872303
MN,113,Yes,No,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,810.0886749089948
UT,126,No,No,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,313.78924152283423
NJ,138,No,No,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,807.6847502992678
MN,162,No,Yes,46,224.9,97,,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,930.094615358188
NM,147,No,No,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,153.95280111314742
NV,90,No,No,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,1125.393201560309
MN,50,No,No,0,157.1,90,,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,921.8877062783607
MD,70,No,No,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,792.3748556630687
WV,144,No,No,0,201.1,99,,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,1184.831848028362
CO,55,No,Yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,216.5531459308843
GA,70,No,Yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,930.5704875308388
WV,111,,No,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,894.7927612791815
KY,74,,Yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,711.7149208146443
DC,82,,No,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,652.366876909487
AR,80,No,No,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,865.2804167976849
ME,78,No,No,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,882.6782748203758
AZ,90,No,No,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,703.4189006046863
AK,104,No,No,0,278.4,106,,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,731.8567480168857
AZ,99,No,No,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,678.3785104102906
IA,98,,Yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,755.7460270018092
VT,135,No,No,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,641.8951757331865
IN,122,No,No,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,790.7585693382961
AZ,95,No,No,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,888.6591994076862
NM,93,No,Yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,777.0904612018246
UT,157,No,No,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,453.26127302571
MA,103,No,No,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,738.5847916052415
AL,98,No,No,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,1071.754323123743
DE,125,No,No,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,867.7455415193393
NJ,64,No,No,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,905.1725047208183
MO,112,No,Yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,771.9732771665672
NE,46,No,No,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,1009.230801210729
TX,41,No,Yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,807.7090666117928
MD,121,No,No,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,899.8856334644574
MS,193,No,No,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,570.9930703949286
NV,130,No,No,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,661.6723979308194
AZ,85,No,No,0,201.4,52,,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,1033.623506355091
TX,92,No,No,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,800.4297080454271
NE,90,No,No,0,145.5,92,,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,967.6945349918667
NJ,78,No,No,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,1139.1915058231689
TX,82,No,No,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,869.3070825103796
AR,163,No,No,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,843.1551852676172
AL,91,Yes,No,0,129.9,112,,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,728.5919192089772
NY,75,,Yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,775.7871004373802
FL,91,No,No,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,1019.135348104762
NV,113,No,Yes,23,205.0,101,,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,782.0832377569136
DE,110,No,No,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,1139.751806591888
MD,120,No,Yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,806.9528147258989
MI,157,No,Yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,817.0330772390843
VT,103,No,No,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,944.8894037584213
MI,140,No,No,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,776.3331965089534
UT,83,Yes,No,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,987.6364039839196
RI,145,No,Yes,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,770.6931696635851
IA,113,No,No,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,921.436897692422
RI,56,No,No,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,1045.819274814184
OK,96,No,No,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,552.2455653995195
LA,151,No,No,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,1221.040294521983
VA,139,No,Yes,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,335.3298221072562
FL,115,No,Yes,24,142.1,124,,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,961.2874633266383
SC,87,No,No,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,637.2858770154386
VA,141,No,No,0,217.1,110,,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,943.5968473904221
IA,141,No,Yes,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,837.0695148852608
MI,62,No,No,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,796.6075650463838
OK,146,No,No,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,669.7952592339143
DE,92,No,Yes,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,971.0454562491524
GA,185,No,Yes,31,189.8,126,,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,787.1194023273836
DC,148,No,No,0,202.0,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,850.7637581367369
AZ,94,,Yes,38,170.1,124,,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,312.9547665035115
CO,68,No,No,0,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,13.2,2,3.56,1,789.8582310912474
LA,179,,No,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,629.1228280815791
NE,94,No,No,0,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,11.1,7,3.0,2,873.3504032117063
MN,62,No,No,0,147.1,91,,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,767.1494074456214
AR,116,No,No,0,173.5,93,29.5,194.1,76,16.5,208.0,112,9.36,16.2,10,4.37,3,664.0215538982636
WV,94,Yes,Yes,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,893.5195924413691
NY,67,No,Yes,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,1026.036882905949
NH,19,No,No,0,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,14.6,7,3.94,2,1034.5409615467509
VA,170,Yes,No,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,8.4,3,2.27,3,982.3493618849756
NY,106,No,No,0,158.7,74,,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,630.7670591255112
WY,164,No,No,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9.0,3,2.43,1,351.1852567426865
WA,51,No,No,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,874.543754829959
CO,107,,No,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,476.7070759942511
TX,130,No,No,0,176.9,109,30.07,90.7,104,7.71,238.0,69,10.71,9.5,2,2.57,1,479.72017465519485
KY,80,No,No,0,209.9,74,,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,927.2784670947154
MT,94,No,No,0,137.5,118,23.38,203.2,88,17.27,150.0,131,6.75,13.4,2,3.62,0,857.5499435684613
OK,118,No,Yes,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,724.8568827283037
MD,117,No,Yes,23,198.1,86,33.68,177.0,86,15.05,180.5,92,8.12,6.8,6,1.84,1,784.2057261557045
TN,78,No,No,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,915.3467562318498
DC,63,No,No,0,83.0,64,14.11,177.0,106,15.05,245.7,89,11.06,13.0,3,3.51,0,823.8111260223842
MN,53,No,Yes,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,1085.450738647805
DE,62,,No,0,182.3,101,,328.2,93,27.9,245.0,131,11.03,11.2,1,3.02,2,1146.086462357614
MD,97,No,No,0,218.0,86,37.06,184.0,94,15.64,240.5,110,10.82,6.4,8,1.73,3,827.3453408614303
MI,105,,No,0,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,6.8,3,1.84,2,661.9120212353764
WA,157,No,No,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,960.1390938136419
MO,66,No,Yes,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,869.7116359749722
OR,38,No,No,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,903.9414214579764
AZ,144,Yes,No,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,1094.433789377087
PA,82,No,Yes,24,155.2,131,,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,782.1429345438486
AZ,86,No,Yes,31,167.6,139,,113.0,118,9.61,246.9,121,11.11,12.2,6,3.29,1,789.9686953097438
LA,93,No,No,0,179.3,93,,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,910.3861171065934
FL,93,No,No,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,719.511740473005
FL,120,,No,0,180.0,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3,825.566965177214
AL,106,,No,0,223.0,121,,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,0,787.9270701510768
WA,81,,No,0,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3,837.0006183626671
TN,127,No,Yes,22,166.0,114,,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,815.306236478674
ME,35,No,No,0,149.3,113,,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,1109.089505551103
OK,88,No,No,0,65.4,97,,168.2,76,14.3,236.0,113,10.62,13.8,1,3.73,2,785.923260350204
MO,123,No,No,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,907.343359458784
IA,126,No,Yes,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,913.8603536088963
VA,104,No,Yes,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,1087.1711912810651
OH,63,Yes,Yes,36,199.0,110,33.83,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97,1,1196.4783778098779
OK,100,No,No,0,203.1,96,34.53,217.0,126,18.45,180.9,122,8.14,13.5,2,3.65,3,977.441567982546
NV,53,No,No,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,535.5781309534234
ID,92,No,No,0,173.1,140,,240.3,105,20.43,233.2,117,10.49,9.0,5,2.43,1,1064.121154448083
SD,110,No,Yes,40,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9.0,9,2.43,2,522.1761949953503
IL,110,No,No,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,1070.849357050383
AL,73,No,No,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,863.5780604167649
NJ,138,No,No,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,590.6980233142015
IN,36,No,No,0,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,1,948.1779942055998
WV,85,No,No,0,225.0,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,803.5079416633928
SC,22,No,No,0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,388.7489860828658
RI,107,No,Yes,37,60.0,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3.0,0,45.31894700477974
IN,51,No,No,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,768.6593966484785
NJ,106,No,No,0,207.9,91,,172.0,109,14.62,191.8,143,8.63,14.4,7,3.89,4,938.47976958839
MS,82,,No,0,207.0,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,928.4788258156204
TX,97,Yes,No,0,143.7,117,,273.0,82,23.21,178.3,81,8.02,10.9,3,2.94,0,1023.236334152869
DC,108,No,No,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,887.8369956470012
TX,114,No,No,0,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1,943.359122493938
UT,59,No,No,0,155.2,79,26.38,235.3,123,20.0,169.4,80,7.62,8.7,4,2.35,1,861.3096434254044
MN,24,No,Yes,25,164.9,110,,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1,895.3215952016801
IL,151,,No,0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1,828.5913647340439
NM,117,No,No,0,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1,931.5290540381224
WV,114,No,Yes,30,206.2,79,35.05,260.0,91,22.1,291.6,83,13.12,11.4,6,3.08,1,1056.064641489131
NH,119,No,No,0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65,3,774.3102702888608
MA,118,Yes,No,0,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,764.5440599452304
PA,101,No,No,0,206.6,105,,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,731.5666890803627
OK,117,No,No,0,134.7,121,,180.0,83,15.3,200.9,104,9.04,7.7,3,2.08,1,891.3491114468222
WY,139,No,No,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13.0,3,3.51,3,1059.947445985759
PA,92,No,Yes,28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10.0,3,2.7,1,797.0900296035287
HI,148,Yes,No,0,218.9,88,37.21,208.0,85,17.68,203.3,99,9.15,11.1,4,3.0,0,806.4008444574623
VT,146,Yes,No,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,986.6523976728322
AK,48,No,Yes,37,211.7,115,,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29,1,731.9824050023732
MI,86,No,Yes,28,221.6,74,,288.4,100,24.51,240.3,105,10.81,9.0,2,2.43,1,889.7714460800518
DE,71,No,No,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,863.2805221011121
MI,137,No,No,0,206.4,122,,128.0,102,10.88,194.5,84,8.75,8.8,5,2.38,2,493.3981502445588
KS,137,No,No,0,205.9,88,35.0,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2,900.3577387310397
AL,167,No,No,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,649.2949557489693
NE,132,No,No,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,472.3956563773199
WI,96,No,Yes,18,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1,643.9810662342554
IN,166,No,No,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,889.7754561849797
DC,74,No,No,0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,229.80108653141133
AR,36,No,No,0,157.6,117,,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0,636.9474397909038
ME,113,No,No,0,215.5,129,,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,476.7704680631292
MD,67,No,No,0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2,630.9591013657098
IA,158,No,No,0,158.0,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1,931.3090396625548
AZ,136,No,No,0,92.0,117,,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78,1,1100.684937971275
MO,196,No,No,0,234.0,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,958.8787779112148
RI,112,No,No,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0,982.4121232549876
SD,209,,No,0,227.2,128,,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,1066.599091397277
TX,110,,Yes,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,916.6371751902948
VA,16,,No,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,569.9150059646472
MA,73,No,No,0,94.1,136,,280.3,122,23.83,205.0,77,9.23,9.8,4,2.65,0,1014.723877723151
ID,128,No,No,0,125.2,99,,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,777.1046545568648
MA,39,No,No,0,60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,1,1141.746918445846
GA,103,No,Yes,28,121.0,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,835.5986490267917
RI,119,No,Yes,29,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05,3,1194.224843205375
MA,86,No,No,0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,0,952.257326651124
WY,114,No,Yes,32,125.2,79,,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,962.3707851004318
VA,104,No,No,0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10.0,3,2.7,0,979.7784851330597
OR,148,No,No,0,86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05,1,819.3901602616562
VA,129,,No,0,207.0,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,377.7274374516099
ME,100,No,Yes,30,58.8,104,10.0,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,0,777.0913188707461
GA,143,No,Yes,33,239.2,109,,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57,1,200.4353624620408
IA,76,,No,0,198.3,130,,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0,906.4461431512327
AZ,158,No,No,0,205.2,97,34.88,240.6,77,20.45,79.7,108,3.59,14.4,12,3.89,0,977.0080395700766
FL,116,No,No,0,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,3,1127.600481414279
DE,108,No,No,0,169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51,0,787.4189801947133
MT,66,,No,0,201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,7.5,4,2.03,1,744.1887018836812
KY,151,No,Yes,17,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,8.6,4,2.32,1,632.5638357184126
